                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.4505,                 1.6659,                 0.9944,                0.44162,                0.39545,                0.29596,                0.10588,                 2.1513,                 1.5908,                0.88521,               0.006634,               0.006634,               0.006634
                     36,                 2.3256,                 1.3169,                 0.9612,                0.44363,                0.39871,                0.35276,                0.13556,                  2.214,                 1.4374,                0.87708,               0.006535,               0.006535,               0.006535
                     37,                 2.4649,                 1.3988,                 1.0404,                0.39794,                0.40698,                0.32885,                0.12143,                 2.0681,                  1.496,                0.87899,               0.006436,               0.006436,               0.006436
                     38,                 2.8494,                  1.708,                 1.0032,                0.40531,                0.34884,                0.27597,                0.12162,                 2.2521,                 1.5205,                0.89752,               0.006337,               0.006337,               0.006337
                     39,                 2.4448,                 1.4208,                 1.0224,                0.47976,                0.39535,                0.35454,                0.13972,                 2.0216,                 1.5228,                0.87686,               0.006238,               0.006238,               0.006238
                     40,                 2.2078,                 1.4372,                0.89235,                0.41099,                0.33721,                0.24003,                0.09171,                   2.42,                 1.7971,                0.90267,               0.006139,               0.006139,               0.006139
                     41,                 2.2421,                 1.5403,                0.96475,                0.46629,                0.39535,                0.34693,                0.13439,                 2.1931,                 1.3597,                0.88653,                0.00604,                0.00604,                0.00604
                     42,                 2.5088,                 1.3506,                 1.0209,                0.41642,                0.32558,                0.27551,                0.11198,                 2.4184,                 1.6229,                0.90364,               0.005941,               0.005941,               0.005941
                     43,                 2.5891,                 1.3837,                 1.0441,                 0.4884,                0.46512,                0.40791,                0.18046,                 1.9648,                 1.4143,                0.86431,               0.005842,               0.005842,               0.005842
                     44,                 2.4954,                 1.6981,                0.93303,                0.68107,                0.47674,                0.51787,                 0.1743,                 1.9765,                 1.4633,                0.85516,               0.005743,               0.005743,               0.005743
                     45,                 2.2672,                 1.4406,                0.93619,                0.53918,                0.52326,                0.44002,                0.14626,                 2.0646,                 1.3098,                0.86598,               0.005644,               0.005644,               0.005644
                     46,                 2.2345,                 1.3595,                0.92895,                0.49492,                0.42162,                0.37825,                0.13126,                 2.2137,                 1.3938,                0.88396,               0.005545,               0.005545,               0.005545
                     47,                 2.3279,                 1.3172,                  0.944,                0.44558,                0.46728,                 0.3632,                0.12596,                 2.2788,                 1.8149,                0.86669,               0.005446,               0.005446,               0.005446
                     48,                 2.0535,                 1.3865,                0.91753,                0.49908,                0.44186,                0.38673,                0.15793,                 2.2116,                 1.3601,                0.87461,               0.005347,               0.005347,               0.005347
                     49,                 2.0137,                 1.4303,                0.94077,                0.53947,                0.44186,                0.43715,                 0.1784,                  2.071,                 1.2788,                0.86828,               0.005248,               0.005248,               0.005248
                     50,                 1.9412,                 1.2348,                 0.9336,                0.45855,                 0.4186,                0.38137,                0.14904,                  2.118,                 1.4851,                0.88449,               0.005149,               0.005149,               0.005149
                     51,                 2.3358,                 1.6506,                0.95598,                0.51337,                0.39257,                0.36567,                0.16707,                 2.0922,                 1.5676,                0.88115,                0.00505,                0.00505,                0.00505
                     52,                 2.3315,                 1.3676,                0.94614,                0.57346,                0.35958,                0.40584,                0.13637,                 2.1409,                 1.5238,                0.87901,               0.004951,               0.004951,               0.004951
                     53,                 2.4076,                 1.4373,                0.90709,                0.68804,                0.26744,                0.38742,                0.12493,                 2.2304,                 1.6554,                 0.8845,               0.004852,               0.004852,               0.004852
                     54,                 2.3981,                 1.6011,                 0.9557,                0.72779,                 0.4353,                0.49271,                0.18312,                 1.9047,                 1.3578,                0.84453,               0.004753,               0.004753,               0.004753
                     55,                  2.197,                 1.4244,                0.96043,                0.74057,                0.43154,                0.55359,                0.23406,                 1.8476,                 1.3493,                0.84274,               0.004654,               0.004654,               0.004654
                     56,                 2.1656,                 1.3922,                0.89724,                0.65584,                0.55399,                0.54634,                0.20825,                 1.8351,                 1.1486,                0.85909,               0.004555,               0.004555,               0.004555
                     57,                 1.9217,                  1.348,                0.92265,                0.66333,                0.54987,                0.55067,                0.23588,                 1.7417,                 1.0559,                0.83956,               0.004456,               0.004456,               0.004456
                     58,                 2.1926,                 1.1989,                0.94021,                0.67207,                0.52428,                0.54566,                0.21144,                 1.8741,                 1.1017,                0.84644,               0.004357,               0.004357,               0.004357
                     59,                 2.2667,                 1.2728,                0.90446,                0.70369,                0.47674,                0.53519,                0.22344,                  1.925,                 1.0852,                0.84724,               0.004258,               0.004258,               0.004258
